WBSEGMENT,BURPID,BURP Stream Name,SMI,SFI,SHI,WBAG 2 Score,SMI2,SFI2,SHI2,WBAG 3 Score
ID17060209SL057_02a,2003SLEWA019,Telcher Creek,NULL,NULL,NULL,NULL,NULL,NULL,,
ID17060303CL049_03,2003SLEWA020,Weir Creek,74.56116,92.05751,76,3,76,92,76,2.67
ID17060303CL020_02,2003SLEWA021,Robin Creek,76.23946,94.74168,82,3,83,84,82,2.67
ID17060303CL009_02b,2003SLEWA022,Lost Creek,81.84128,99.52692,81,3,82,87,81,2.67
ID17060303CL006_03,2003SLEWA023,Split Creek,68.36597,72.48827,79,2.67,66,89,79,2.67
ID17060209SL029_02,2003SLEWA024,Allison Creek,75.26307,99.5,83,3,69,71,79,2
ID17060209SL027_02,2003SLEWA025,Van Creek,NULL,NULL,NULL,NULL,NULL,NULL,,
ID17060209SL037_02a,2003SLEWA026,Little Boulder Creek,78.85248,92.3398,90,3,65,81,88,2.33
ID17060209SL037_02b,2003SLEWA027,Big Boulder Creek,73.11907,83.76823,84,3,65,75,79,2.33
ID17060209SL039_03,2003SLEWA028,Van Buren Creek,80.39579,68.11565,92,2.67,71,84,90,2.67
ID17060209SL037_02,2003SLEWA029,Little Slate Creek,81.62649,75.38817,55,2.33,64,91,54,2
ID17060209SL037_02,2003SLEWA030,Little Slate Creek,NULL,NULL,NULL,NULL,NULL,NULL,,
ID17060209SL041_02,2003SLEWA031,Slate Creek,80.55016,51.58493,93,2.33,74,39,92,2.33
ID17060209SL037_04,2003SLEWA032,Little Slate Creek,84.96239,94.08315,78,3,79,98,75,2.67
ID17060209SL010_02,2003SLEWA033,Deer Creek,NULL,NULL,NULL,NULL,NULL,NULL,,
ID17060209SL036_04,2003SLEWA034,Slate Creek,73.55429,95.46481,83,3,66,69,81,2
ID17040208SK006_03a,2003SPOCA001,Marsh Creek,48.67027,NULL,57,2,59,,57,2
ID17040208SK006_02c,2003SPOCA002,Yago Creek,44.89414,NULL,56,2,59,NULL,56,2
ID17040208SK017_02c,2003SPOCA003,Beaverdam Creek,26.75487,NULL,45,0,44,NULL,45,1.5
ID17040208SK004_02b,2003SPOCA004,West Fork Mink Creek,76.74979,NULL,74,3,78,NULL,74,3
ID16010204BR002_02a,2003SPOCA005,Campbell Creek,NULL,NULL,NULL,NULL,NULL,NULL,,
ID16010204BR002_03,2003SPOCA007,Devil Creek,18.95585,NULL,42,0,12,NULL,42,1
ID16010204BR001_02c,2003SPOCA008,West Cherry Creek,34.06305,NULL,42,1,53,NULL,42,1
ID16010204BR011_03,2003SPOCA010,Dairy Creek,13.33669,90.69183,40,0,7,52,40,1
ID16010204BR010_04,2003SPOCA011,Wright Creek,24.69552,68.47008,44,0,,,,
ID16010202BR021_02,2003SPOCA014,Jenkins Hollow Creek,25.38464,NULL,17,0,18,NULL,17,1
ID16020309BR003_03a,2003SPOCA017,Rock Creek,33.1315,NULL,37,1,49,NULL,37,1
ID16020309BR003_02a,2003SPOCA018,Meadow Brook Creek,23.68291,NULL,24,0,42,NULL,24,1
ID16010204BR010_02a,2003SPOCA019,Indian Mill Creek,59.55482,NULL,54,2.5,69,NULL,54,2.5
ID16010202BR018_03a,2003SPOCA020,Stockton Creek,51.40828,NULL,65,3,68,NULL,65,2.5
ID16010202BR009_02a,2003SPOCA021,Smith Creek,28.44479,NULL,47,0,53,NULL,47,1.5
ID16010202BR003_02b,2003SPOCA022,Deep Creek,56.61359,NULL,72,3,50,NULL,68,1.5
ID16010202BR019_02a,2003SPOCA023,Fivemile Creek,31.01736,NULL,43,0,,NULL,,
ID16010202BR018_02b,2003SPOCA024,Swan Lake Creek,25.01582,NULL,49,0,33,NULL,50,1.5
ID17040208SK008_02a,2003SPOCA028,Bell Marsh Creek,87.85123,72.38361,72,2.67,79,93,72,3
ID17040208SK023_02c,2003SPOCA029,Webb Creek,71.62699,NULL,72,3,82,NULL,72,3
ID17040206SK025_02a,2003SPOCA030,Little Hole Draw,35.30769,NULL,51,1.5,54,85,51,2
ID17040206SK005_02,2003SPOCA031,West Fork Sunbeam Creek,52.01733,NULL,52,2.5,70,,52,2.5
ID16010201BR007_02a,2003SPOCA033,Skinner Creek,76.77036,NULL,78,3,60,NULL,83,2.5
ID16010201BR008_02a,2003SPOCA034,Co-Op Creek,76.50912,NULL,65,2.5,58,NULL,70,2
ID16010201BR006_02e,2003SPOCA035,Spring Creek,44.46425,62.5,50,1,34,71,51,1
ID16010201BR002_02,2003SPOCA036,Bennington Canyon,32.89317,NULL,62,0,54,,64,2.5
ID16010102BR008_02,2003SPOCA037,Sheep Creek,24.63732,NULL,18,0,47,NULL,18,1
ID16010201BR011_02a,2003SPOCA038,Liberty Creek,53.02711,NULL,76,2.5,49,,81,2
ID16010201BR011_03a,2003SPOCA039,Mill Creek,75.36185,NULL,67,3,50,NULL,69,1.5
ID16010201BR013_02b,2003SPOCA040,Paris Creek,68.75209,87.58015,60,2.67,,,,
ID16010201BR013_02b,2003SPOCA041,Paris Creek,61.42702,NULL,44,2,55,NULL,45,1.5
ID16010102BR002_03,2003SPOCA042,Pegram Creek,39.42599,NULL,32,1,50,NULL,32,1
ID16010201BR020_02b,2003SPOCA043,Whiskey Creek,41.73909,NULL,43,1,33,NULL,43,1
ID16010201BR020_02a,2003SPOCA044,Little Beaver Creek,51.68521,NULL,54,1.5,56,NULL,54,2
ID17040105SK008_02,2003SPOCA045,UNT to Crow Creek,72.496,37.79175,67,2.33,62,95,67,2.33
ID17040105SK008_02,2003SPOCA046,UNT to Crow Creek,67.29664,NULL,51,2,52,NULL,51,1
ID17040105SK011_03,2003SPOCA047,Rock Creek,62.86867,55,39,1.67,55,99,,2.5
ID17040105SK007_02f,2003SPOCA048,Draney Creek,NULL,NULL,58,2,NULL,NULL,58,
ID17040105SK008_02c,2003SPOCA049,Beaver Dam Creek,13.54296,NULL,25,0,42,NULL,25,1
ID17040207SK012_02b,2003SPOCA050,Goodheart Creek,25.0891,NULL,27,0,17,NULL,27,1
ID17040207SK015_02a,2003SPOCA051,Mill Canyon,50.71205,NULL,53,1,62,NULL,55,2.5
ID17040105SK010_02b,2003SPOCA052,North Fork Deer Creek,68.20126,85.1141,54,2.33,45,96,54,1.67
ID17040105SK010_03,2003SPOCA053,Deer Creek,72.47039,91.16654,63,2.67,55,98,63,2.33
ID17040207SK006_03,2003SPOCA054,Corral Creek,24.98141,0.03372172,33,0,22,70,35,1.33
ID17040207SK006_04,2003SPOCA055,Corral Creek,29.09529,9.54131,45,0,62,80,47,2
ID17040207SK002_02b,2003SPOCA056,Deadman Creek,NULL,NULL,NULL,NULL,NULL,NULL,,
ID17040208SK006_04,2003SPOCA057,Marsh Creek,18.79446,44.53441,33,0,4,88,34,1.33
ID17040212SK036_04,2003STWFA001,Clover Creek,59.82176,23.01746,51,0,,,,
ID17040212SK038_03,2003STWFA002,East Fork Clover Creek,NULL,NULL,NULL,NULL,NULL,NULL,,
ID17040219SK019_02,2003STWFA003,Boulder Creek,60.45735,NULL,77,3,42,NULL,77,1.5
ID17040219SK030_03,2003STWFA004,Dry Creek,52.06517,51.20311,34,1.33,70,85,36,2
ID17040212SK037_03,2003STWFA005,Cottonwood Creek,NULL,NULL,NULL,NULL,NULL,NULL,,
ID17040219SK030_02,2003STWFA006,Black Canyon Creek,NULL,NULL,NULL,NULL,NULL,NULL,,
ID17040219SK030_02,2003STWFA007,Black Canyon Creek,NULL,NULL,NULL,NULL,NULL,NULL,,
ID17040219SK030_02,2003STWFA008,Fourmile Creek,NULL,NULL,NULL,NULL,NULL,NULL,,
ID17040219SK030_02,2003STWFA009,Coyote Creek,NULL,NULL,NULL,NULL,NULL,NULL,,
ID17040219SK030_03,2003STWFA010,Dry Creek,69.09851,48.07643,49,1.67,71,64,51,2
ID17040219SK030_03,2003STWFA011,Dry Creek,48.69753,NULL,39,1,61,NULL,41,1.5
ID17040212SK036_04,2003STWFA012,Clover Creek,58.77336,NULL,67,3,,NULL,,
ID17040211SK003_04,2003STWFA013,Trapper Creek,67.33601,NULL,64,3,74,NULL,64,3
ID17040211SK004_03,2003STWFA014,Trapper Creek,40.66864,NULL,44,1,51,NULL,44,1
ID17040209SK003_02,2003STWFA015,Howell Creek,82.79587,59.5,78,2.33,77,67,78,2.33
ID17040210SK007_02,2003STWFA016,Stinson Creek,60.86247,99.24503,71,3,75,76,71,2.67
ID17040219SK029_03,2003STWFA017,Thorn Creek,NULL,NULL,NULL,NULL,NULL,NULL,,
ID17040219SK029_02,2003STWFA019,UNT to Thorn Creek,NULL,NULL,NULL,NULL,NULL,NULL,,
ID17040219SK000_02,2003STWFA020,UNT to Preacher Creek,NULL,NULL,NULL,NULL,NULL,NULL,,
ID17040219SK000_03,2003STWFA022,Preacher Creek,NULL,NULL,NULL,NULL,NULL,NULL,,
ID17040219SK000_02,2003STWFA023,Portuguese Creek,NULL,NULL,NULL,NULL,NULL,NULL,,
ID17040219SK000_02,2003STWFA026,Timber Gulch,NULL,NULL,NULL,NULL,NULL,NULL,,
ID17040210SK004_02,2003STWFA027,Connor Creek,52.4459,NULL,67,3,61,NULL,67,2.5
ID17040210SK006_02,2003STWFA028,Cottonwood Creek,84.86056,78.75,70,2.67,73,78,70,2.67
ID17040210SK007_03,2003STWFA029,Cross Creek,73.30535,60,84,2.33,78,73,85,2.67
ID17040210SK007_02,2003STWFA030,Dry Creek,81.92813,NULL,81,3,81,NULL,81,3
ID17040210SK007_02,2003STWFA031,Green Creek,76.61396,NULL,81,3,64,NULL,80,2.5
ID17040210SK013_03,2003STWFA032,Circle Creek,NULL,NULL,NULL,NULL,NULL,NULL,,
ID17040210SK012_02,2003STWFA033,Almo Creek,83.5433,NULL,69,3,76,NULL,69,3
ID17040211SK008_03,2003STWFA034,Goose Creek,82.35163,NULL,66,3,73,NULL,66,3
ID17040211SK008_03,2003STWFA035,Little Piney Creek,81.17412,NULL,73,3,70,NULL,,
ID17040211SK008_02,2003STWFA036,Ruby Gulch,NULL,NULL,NULL,NULL,NULL,NULL,,
ID17040211SK008_02,2003STWFA037,South Fork Little Piney Creek,84.29376,NULL,72,3,,NULL,,
ID17040211SK008_02,2003STWFA038,Piney Creek,74.95541,NULL,32,2,69,NULL,,
